rank,movie,release_date,distributor,genre,2016 Gross,Tickets Sold
1,Finding Dory,6/17/2016,Walt Disney,Adventure,486295561,56219140
2,Rogue One: A Star Wars Story,12/16/2016,Walt Disney,Adventure,424987707,49131526
3,Captain America: Civil War,5/6/2016,Walt Disney,Action,408084349,47177381
4,The Secret Life of Pets,7/8/2016,Universal,Adventure,368384330,42587783
5,The Jungle Book,4/15/2016,Walt Disney,Adventure,364001123,42081054
6,Deadpool,2/12/2016,20th Century Fox,Action,363070709,41973492
7,Zootopia,3/4/2016,Walt Disney,Adventure,341268248,39452976
8,Batman v Superman: Dawn of …,3/25/2016,Warner Bros.,Action,330360194,38191930
9,Suicide Squad,8/5/2016,Warner Bros.,Action,325100054,37583821
10,Doctor Strange,11/4/2016,Walt Disney,Action,230107790,26602056
11,Fantastic Beasts and Where …,11/18/2016,Warner Bros.,Adventure,222675573,25742841
12,Moana,11/23/2016,Walt Disney,Musical,210046114,24282787
13,Star Wars Ep. VII: The Forc…,12/18/2015,Walt Disney,Adventure,194453283,22480148
14,The Revenant,12/25/2015,20th Century Fox,Adventure,182765375,21128945
15,Sing,12/21/2016,Universal,Adventure,166497820,19248302
16,Jason Bourne,7/29/2016,Universal,Action,162192920,18750626
17,Star Trek Beyond,7/22/2016,Paramount Pictures,Adventure,158848340,18363969
18,X-Men: Apocalypse,5/27/2016,20th Century Fox,Action,155442489,17970229
19,Trolls,11/4/2016,20th Century Fox,Adventure,150130292,17356103
20,Kung Fu Panda 3,1/29/2016,20th Century Fox,Adventure,143528619,16592903
21,Ghostbusters,7/15/2016,Sony Pictures,Comedy,128350574,14838216
22,Central Intelligence,6/17/2016,Warner Bros.,Comedy,127440871,14733049
23,The Legend of Tarzan,7/1/2016,Warner Bros.,Adventure,126643061,14640816
24,Sully,9/9/2016,Warner Bros.,Drama,124976335,14448131
25,Bad Moms,7/29/2016,STX Entertainment,Comedy,113257297,13093329
26,The Angry Birds Movie,5/20/2016,Sony Pictures,Adventure,107509366,12428828
27,Independence Day: Resurgence,6/24/2016,20th Century Fox,Action,103144286,11924194
28,The Conjuring 2: The Enfiel…,6/10/2016,Warner Bros.,Horror,102470008,11846244
29,Sausage Party,8/12/2016,Sony Pictures,Comedy,97670358,11291370
30,The Magnificent Seven,9/23/2016,Sony Pictures,Western,93420253,10800029
31,Arrival,11/11/2016,Paramount Pictures,Drama,92191690,10657998
32,Ride Along 2,1/15/2016,Universal,Comedy,90862685,10504356
33,Don’t Breathe,8/26/2016,Sony Pictures,Horror,89217875,10314205
34,Miss Peregrine’s Home for P…,9/30/2016,20th Century Fox,Adventure,86945137,10051461
35,The Accountant,10/14/2016,Warner Bros.,Thriller/Suspense,85856696,9925630
36,Teenage Mutant Ninja Turtle…,6/3/2016,Paramount Pictures,Adventure,82051601,9485734
37,The Purge: Election Year,7/1/2016,Universal,Horror,79042440,9137854
38,Alice Through the Looking G…,5/27/2016,Walt Disney,Adventure,77042381,8906633
39,Pete’s Dragon,8/12/2016,Walt Disney,Adventure,76233151,8813081
40,The Girl on the Train,10/7/2016,Universal,Thriller/Suspense,75395035,8716189
41,Tyler Perry’s Boo! A Madea …,10/21/2016,Lionsgate,Comedy,73206343,8463161
42,Storks,9/23/2016,Warner Bros.,Adventure,72414850,8371659
43,10 Cloverfield Lane,3/11/2016,Paramount Pictures,Thriller/Suspense,72082999,8333294
44,Lights Out,7/22/2016,Warner Bros.,Horror,67268835,7776744
45,The Divergent Series: Alleg…,3/18/2016,Lionsgate,Action,66184051,7651335
46,Now You See Me 2,6/10/2016,Lionsgate,Thriller/Suspense,65075540,7523183
47,Hacksaw Ridge,11/4/2016,Lionsgate,Drama,64606565,7468967
48,Ice Age: Collision Course,7/22/2016,20th Century Fox,Adventure,64063008,7406128
49,The Boss,4/8/2016,Universal,Comedy,63077560,7292203
50,London Has Fallen,3/4/2016,Focus Features,Thriller/Suspense,62524260,7228238
51,Miracles from Heaven,3/16/2016,Sony Pictures,Drama,61705123,7133540
52,Deepwater Horizon,9/30/2016,Lionsgate,Drama,61433527,7102141
53,My Big Fat Greek Wedding 2,3/25/2016,Universal,Comedy,59689605,6900532
54,Jack Reacher: Never Go Back,10/21/2016,Paramount Pictures,Action,58574515,6771620
55,Daddy’s Home,12/25/2015,Paramount Pictures,Comedy,56467276,6528008
56,Me Before You,6/3/2016,Warner Bros.,Drama,56245075,6502321
57,The BFG,7/1/2016,Walt Disney,Adventure,55483770,6414308
58,Passengers,12/21/2016,Sony Pictures,Thriller/Suspense,55380209,6402336
59,Neighbors 2: Sorority Rising,5/20/2016,Universal,Comedy,55340730,6397772
60,The Shallows,6/24/2016,Sony Pictures,Drama,55121623,6372441
61,Barbershop: The Next Cut,4/15/2016,Warner Bros.,Comedy,54030051,6246249
62,13 Hours: The Secret Soldie…,1/15/2016,Paramount Pictures,Drama,52853219,6110198
63,Office Christmas Party,12/9/2016,Paramount Pictures,Comedy,51137285,5911824
64,Kubo and the Two Strings,8/19/2016,Focus Features,Adventure,48023088,5551802
65,The Huntsman: Winter’s War,4/22/2016,Universal,Action,48003015,5549481
66,Warcraft,6/10/2016,Universal,Action,47365290,5475756
67,How to be Single,2/12/2016,Warner Bros.,Romantic Comedy,46843513,5415435
68,Mike and Dave Need Wedding …,7/8/2016,20th Century Fox,Comedy,46009673,5319037
69,War Dogs,8/19/2016,Warner Bros.,Comedy,43034523,4975089
70,Almost Christmas,11/11/2016,Universal,Drama,42002805,4855815
71,Money Monster,5/13/2016,Sony Pictures,Thriller/Suspense,41012075,4741280
72,Allied,11/23/2016,Paramount Pictures,Drama,39598941,4577912
73,Nerve,7/27/2016,Lionsgate,Thriller/Suspense,38583626,4460534
74,Sisters,12/18/2015,Universal,Comedy,37921265,4383961
75,The Big Short,12/11/2015,Paramount Pictures,Drama,37204389,4301085
76,Risen,2/19/2016,Sony Pictures,Drama,36880033,4263587
77,Assassin’s Creed,12/21/2016,20th Century Fox,Action,36415167,4209846
78,The Nice Guys,5/20/2016,Warner Bros.,Black Comedy,36261763,4192111
79,The Boy,1/22/2016,STX Entertainment,Horror,35819556,4140989
80,Dirty Grandpa,1/22/2016,Lionsgate,Comedy,35593113,4114810
81,Ouija: Origin of Evil,10/21/2016,Universal,Horror,35144505,4062948
82,The 5th Wave,1/22/2016,Sony Pictures,Action,34912982,4036182
83,La La Land,12/9/2016,Lionsgate,Musical,34268613,3961689
84,Inferno,10/28/2016,Sony Pictures,Thriller/Suspense,34221651,3956260
85,Mother’s Day,4/29/2016,Open Road,Romantic Comedy,32492859,3756399
86,Gods of Egypt,2/26/2016,Lionsgate,Adventure,31153464,3601556
87,Why Him?,12/23/2016,20th Century Fox,Comedy,30633916,3541493
88,Alvin and the Chipmunks: Th…,12/18/2015,20th Century Fox,Adventure,30311560,3504226
89,"Hail, Caesar!",2/5/2016,Universal,Comedy,30080225,3477482
90,When the Bough Breaks,9/9/2016,Sony Pictures,Thriller/Suspense,29747603,3439029
91,Fences,12/16/2016,Paramount Pictures,Drama,29743615,3438568
92,Zoolander 2,2/12/2016,Paramount Pictures,Comedy,28848693,3335109
93,Manchester-by-the Sea,11/18/2016,Roadside Attractions,Drama,28470697,3291410
94,Joy,12/25/2015,20th Century Fox,Drama,28141138,3253310
95,The Finest Hours,1/29/2016,Walt Disney,Thriller/Suspense,27569558,3187232
96,Florence Foster Jenkins,8/12/2016,Paramount Pictures,Drama,27383770,3165753
97,Hell or High Water,8/12/2016,Lionsgate,Western,27007844,3122294
98,The Forest,1/8/2016,Focus / Gramercy,Thriller/Suspense,26594261,3074481
99,Ben-Hur,8/19/2016,Paramount Pictures,Drama,26410477,3053234
100,The Witch,2/19/2016,A24,Horror,25138705,2906208
101,The Hateful Eight,12/25/2015,Weinstein Co.,Western,25071561,2898446
102,Collateral Beauty,12/16/2016,Warner Bros.,Drama,24342478,2814159
103,Bridget Jones’s Baby,9/16/2016,Universal,Romantic Comedy,24139805,2790728
104,Kevin Hart: What Now?,10/14/2016,Universal,Concert/Perfor…,23591043,2727288
105,Whiskey Tango Foxtrot,3/4/2016,Paramount Pictures,Comedy,23083334,2668593
106,Snowden,9/16/2016,Open Road,Drama,21587519,2495666
107,Mechanic: Resurrection,8/26/2016,Lionsgate,Action,21218403,2452994
108,Free State of Jones,6/24/2016,STX Entertainment,Drama,20810036,2405784
109,Blair Witch,9/16/2016,Lionsgate,Horror,20777061,2401972
110,God’s Not Dead 2,4/1/2016,Pure Flix Enterta…,Drama,20773069,2401510
111,Keanu,4/29/2016,Warner Bros.,Comedy,20591853,2380561
112,Middle School: The Worst Ye…,10/7/2016,Lionsgate,Adventure,20007149,2312965
113,Nine Lives,8/5/2016,EuropaCorp,Adventure,19700032,2277460
114,Race,2/19/2016,Focus Features,Drama,19115191,2209848
115,Brooklyn,11/4/2015,Fox Searchlight,Drama,18758748,2168641
116,The Choice,2/5/2016,Lionsgate,Drama,18730891,2165420
