rank,movie,release_date,distribution,genre,gross,tickets_sold
1,Star Wars Ep. VIII: The Las…,12/15/2017,Walt Disney,Adventure,517218368,57660910
2,Beauty and the Beast,3/17/2017,Walt Disney,Musical,504014165,56188870
3,Wonder Woman,6/2/2017,Warner Bros.,Action,412563408,45993691
4,Guardians of the Galaxy Vol 2,5/5/2017,Walt Disney,Action,389813101,43457424
5,Spider-Man: Homecoming,7/7/2017,Sony Pictures,Action,334201140,37257652
6,It,9/8/2017,Warner Bros.,Horror,327481748,36508556
7,Thor: Ragnarok,11/3/2017,Walt Disney,Action,311225150,34696226
8,Despicable Me 3,6/30/2017,Universal,Adventure,264624300,29501036
9,Logan,3/3/2017,20th Century Fox,Action,226277068,25225983
10,The Fate of the Furious,4/14/2017,Universal,Action,225764765,25168870
11,Justice League,11/17/2017,Warner Bros.,Action,225546295,25144514
12,Dunkirk,7/21/2017,Warner Bros.,Action,188373161,21000352
13,Coco,11/22/2017,Walt Disney,Musical,179834199,20048405
14,The Lego Batman Movie,2/10/2017,Warner Bros.,Adventure,175750384,19593131
15,Get Out,2/24/2017,Universal,Horror,175484140,19563449
16,The Boss Baby,3/31/2017,20th Century Fox,Adventure,175003033,19509814
17,Pirates of the Caribbean: D…,5/26/2017,Walt Disney,Adventure,172558876,19237332
18,Jumanji: Welcome to the Jungle,12/20/2017,Sony Pictures,Adventure,169002557,18840865
19,Kong: Skull Island,3/10/2017,Warner Bros.,Adventure,168052812,18734985
20,Hidden Figures,12/25/2016,20th Century Fox,Drama,167620331,18686770
21,Cars 3,6/16/2017,Walt Disney,Adventure,152901115,17045832
22,War for the Planet of the Apes,7/14/2017,20th Century Fox,Action,146880162,16374600
23,Split,1/20/2017,Universal,Horror,138141585,15400399
24,Transformers: The Last Knight,6/21/2017,Paramount Pictures,Action,130168683,14511558
25,Wonder,11/17/2017,Lionsgate,Drama,121559294,13551761
26,La La Land,12/9/2016,Lionsgate,Musical,116833190,13024881
