rank,movie,release_date,distributor,genre,gross,tickets_sold
1,Black Panther,2/16/2018,Walt Disney,Action,700059566,76845177
2,Avengers: Infinity War,4/27/2018,Walt Disney,Action,678815482,74513225
3,Incredibles 2,6/15/2018,Walt Disney,Adventure,608581744,66803704
4,Jurassic World: Fallen Kingdom,6/22/2018,Universal,Action,417719760,45852883
5,Deadpool 2,5/18/2018,20th Century Fox,Action,324512774,35621600
6,Dr. Seuss’ The Grinch,11/9/2018,Universal,Adventure,269622130,29596282
7,Jumanji: Welcome to the Jungle,12/20/2017,Sony Pictures,Adventure,235506359,25851411
8,Mission: Impossible—Fallout,7/27/2018,Paramount Pictures,Action,220159104,24166751
9,Ant-Man and the Wasp,7/6/2018,Walt Disney,Action,216648740,23781420
10,Solo: A Star Wars Story,5/25/2018,Walt Disney,Adventure,213767512,23465149
11,Venom,10/5/2018,Sony Pictures,Action,213429141,23428006
12,A Star is Born,10/5/2018,Warner Bros.,Drama,201157885,22080997
13,Aquaman,12/21/2018,Warner Bros.,Action,199059824,21850694
14,Bohemian Rhapsody,11/2/2018,20th Century Fox,Drama,189813133,20835690
15,A Quiet Place,4/6/2018,Paramount Pictures,Horror,188024361,20639337
16,Ralph Breaks The Internet,11/21/2018,Walt Disney,Adventure,187152693,20543654
17,Crazy Rich Asians,8/15/2018,Warner Bros.,Romantic Comedy,174519335,19156897
18,Hotel Transylvania 3: Summe…,7/13/2018,Sony Pictures,Adventure,167500092,18386398
19,Halloween,10/19/2018,Universal,Horror,159342015,17490890
20,Fantastic Beasts: The Crime…,11/16/2018,Warner Bros.,Adventure,156781859,17209864
21,The Meg,8/10/2018,Warner Bros.,Action,145443742,15965285
22,Ocean’s 8,6/8/2018,Warner Bros.,Action,140218711,15391736
23,Mary Poppins Returns,12/19/2018,Walt Disney,Musical,138817262,15237899
24,Ready Player One,3/29/2018,Warner Bros.,Adventure,137690172,15114179
25,Spider-Man: Into The Spider…,12/14/2018,Sony Pictures,Adventure,133978231,14706721
26,The Greatest Showman,12/20/2017,20th Century Fox,Musical,125303456,13754496
27,Mamma Mia: Here We Go Again!,7/20/2018,Universal,Musical,120634935,13242034
28,The Nun,9/7/2018,Warner Bros.,Horror,117450119,12892439
29,Peter Rabbit,2/9/2018,Sony Pictures,Adventure,115234093,12649186
30,Creed II,11/21/2018,MGM,Drama,112448520,12343416
31,Star Wars Ep. VIII: The Las…,12/15/2017,Walt Disney,Adventure,102963014,11302196
