title,profit,rating,budge_bin
Avengers: Endgame,2397800564,8,400000000
Avengers: Infinity War,1748359754,8,300000000
The Dark Knight Rises,809439099,8,250000000
Tangled,326477240,8,250000000
Harry Potter and the Half-Blood Prince,685213767,8,250000000
The Hobbit: The Desolation of Smaug,710366855,8,250000000
The Avengers,1293812988,8,200000000
Rogue One: A Star Wars Story,856057273,8,200000000
Toy Story 3,868879522,8,200000000
Guardians of the Galaxy Vol 2,669113101,8,200000000
X-Men: Days of Future Past,547862775,8,200000000
Iron Man,399171547,8,150000000
The Dark Knight,816996207,8,150000000
Thor: Ragnarok,673958289,8,150000000
WALL-E,352508025,8,150000000
Edge of Tomorrow,192541256,8,150000000
Inside Out,682561711,8,150000000
Up,556463377,8,150000000
Coco,632126015,8,150000000
Guardians of the Galaxy,602772112,8,150000000
Captain America: The Winter Soldier,544401889,8,150000000
Big Hero 6,487127828,8,150000000
Interstellar,500270476,8,150000000
Beauty and the Beast,1103521126,8,150000000
Inception,675524642,8,150000000
The Curious Case of Benjamin Button,169631958,8,150000000
Zootopia,886368248,8,150000000
Harry Potter and the Order of the Phoenix,793076457,8,150000000
Moana,487517365,8,150000000
Ratatouille,476549695,8,150000000
Mad Max: Fury Road,220098020,8,150000000
Ready Player One,429290136,8,150000000
How to Train Your Dragon 2,469586270,8,100000000
The Revenant,397938302,8,100000000
Home,255997896,8,100000000
How to Train Your Dragon: The Hidden World,389911672,8,100000000
Logan,488461394,8,100000000
Harry Potter and the Deathly Hallows: Part II,1216693157,8,100000000
Harry Potter and the Deathly Hallows: Part I,835431568,8,100000000
Deadpool 2,676680557,8,100000000
The Martian,547271443,8,100000000
Django Unchained,349841566,8,100000000
American Gangster,167985456,8,100000000
The Wolf of Wall Street,289870414,8,100000000
Blood Diamond,71377916,8,100000000
Ben-Hur,-3330352,8,50000000
Kingsman: The Secret Service,310561724,8,50000000
The Departed,199660619,8,50000000
Zodiac,-1919916,8,50000000
The Greatest Showman,356973522,8,50000000
Shutter Island,219461782,8,50000000
The Day the Earth Stood Still,157370350,8,50000000
The Little Prince,24528919,8,50000000
Children of Men,-6154989,8,50000000
Inglourious Basterds,246915264,8,50000000
The Hateful Eight,85924595,8,50000000
Gone Girl,307567189,8,50000000
Deadpool,743025593,8,50000000
Rango,110724600,7,100000000
Oceans,6787530,7,50000000
Michael Jackson's This Is It,192091016,7,50000000
World War Z,341514650,7,150000000
I am Legend,435532684,7,150000000
Hellboy II: The Golden Army,77888063,7,50000000
Frozen,1122469910,7,150000000
Trolls,219150134,7,100000000
Charlotte's Web,61485708,7,50000000
The Soloist,-21477550,7,50000000
Watchmen,48976250,7,100000000
The Bourne Ultimatum,314043396,7,100000000
The Adventures of Tintin,243993951,7,100000000
The Da Vinci Code,642820459,7,100000000
Sherlock Holmes: A Game of Shadows,410663443,7,100000000
Sherlock Holmes,408438212,7,50000000
The Girl with the Dragon Tattoo,149373970,7,50000000
Shooter,35538560,7,50000000
Public Enemies,109782709,7,100000000
In the Heart of the Sea,-10306691,7,100000000
Valkyrie,113932174,7,50000000
The Promise,-79448583,7,50000000
Charlie Wilson's War,44512771,7,50000000
Agora,-31007708,7,50000000
Sully,178524556,7,50000000
First Man,45217104,7,50000000
Invictus,64514011,7,50000000
"Che, Part 1: The Argentine",-26372630,7,50000000
War for the Planet of the Apes,337592267,7,150000000
Dunkirk,349837368,7,150000000
Allied,13266661,7,100000000
Fury,130315681,7,50000000
War Horse,86815529,7,50000000
Unbroken,98527824,7,50000000
300,394161935,7,50000000
American Sniper,489326372,7,50000000
The Fate of the Furious,984846267,7,250000000
Furious 7,1328722794,7,150000000
Fast and Furious 6,629300444,7,150000000
Fast Five,505163454,7,100000000
Ocean's Thirteen,226744465,7,50000000
The Pink Panther,78926474,7,50000000
Now You See Me,267769200,7,50000000
Oceanâ€™s 8,227115976,7,50000000
Spy!,167585748,7,50000000
Focus,103065700,7,50000000
Perfume: The Story of a Murderer,69903463,7,50000000
The Great Gatsby,163640419,7,150000000
Aladdin,868693953,7,150000000
Maleficent,578536735,7,150000000
Passengers,192239672,7,100000000
The Princess and the Frog,165997378,7,100000000
Cinderella,439551353,7,50000000
Enchanted,255384141,7,50000000
The Holiday,120190324,7,50000000
Scott Pilgrim vs. The World,-36943236,7,50000000
Hairspray,128035572,7,50000000
Stardust,67022245,7,50000000
Trouble with the Curve,-12181087,7,50000000
Jurassic World,1433854864,7,200000000
Skyfall,910526981,7,200000000
Dawn of the Planet of the Apes,540644566,7,150000000
Alita: Battle Angel,232971268,7,150000000
Mission: Impossible III,249387745,7,150000000
Mission: Impossibleâ€”Ghost Protocol,549713230,7,100000000
The Hunger Games: Mockingjay - Part 1,641575131,7,100000000
Gravity,583698673,7,100000000
Casino Royale,492420283,7,100000000
Rise of the Planet of the Apes,377986200,7,50000000
Now You See Me 2,238325007,7,50000000
The Book of Eli,78750817,7,50000000
DÃ©jÃ  Vu,101038616,7,50000000
The Kingdom,14302457,7,50000000
Body of Lies,51056530,7,50000000
Maze Runner: The Scorch Trials,249566162,7,50000000
State of Play,28832210,7,50000000
Avengers: Age of Ultron,1072413963,7,300000000
Pirates of the Caribbean: At Worldâ€™s End,663420425,7,300000000
Solo: A Star Wars Story,118151347,7,250000000
Captain America: Civil War,903284349,7,250000000
The Hobbit: An Unexpected Journey,767003568,7,250000000
The Hobbit: The Battle of the Five Armies,695577621,7,250000000
Avatar,2552705275,7,200000000
Pirates of the Caribbean: Dead Men Tell No Tales,558241137,7,200000000
Pirates of the Caribbean: Dead Manâ€™s Chest,841215812,7,200000000
Finding Dory,828570889,7,200000000
Iron Man 3,1015392272,7,200000000
Alice in Wonderland,825491110,7,200000000
Monsters University,543588329,7,200000000
