movie,gross,franchised?,year
zootopia,1036368248,Not Franchised,2016
jungle book,962854547,Not Franchised,2016
secret life of pets,886606412,Not Franchised,2016
moana,637517365,Not Franchised,2016
sing,634454789,Not Franchised,2016
warcraft,438899824,Not Franchised,2016
la la land,426351163,Not Franchised,2016
bohemian rhapsody,903530556,Not Franchised,2018
ready player one,579290136,Not Franchised,2018
the meg,529530715,Not Franchised,2018
the grinch,510934965,Not Franchised,2018
a star is born,434888866,Not Franchised,2018
rampage,428056280,Not Franchised,2018
the nun,363676447,Not Franchised,2018
beauty and the beast,1263521126,Not Franchised,2017
jumanji,964496193,Not Franchised,2017
coco,807126015,Not Franchised,2017
it,700381748,Not Franchised,2017
kong: skull island,561072059,Not Franchised,2017
boss baby,510878762,Not Franchised,2017
dunkirk,499837368,Not Franchised,2017
Interstellar,665270476,Not Franchised,2014
Big Hero 6,652127828,Not Franchised,2014
American Sniper,547326372,Not Franchised,2014
Godzilla,529076069,Not Franchised,2014
The Lego Movie,457729388,Not Franchised,2014
Lucy,457507776,Not Franchised,2014
Inside Out,857561711,Not Franchised,2015
The Martian,655271443,Not Franchised,2015
Cinderella,534551353,Not Franchised,2015
The Revenant,532938302,Not Franchised,2015
San Andreas,456258539,Not Franchised,2015
Kingsman: The Secret Service,404561724,Not Franchised,2015
Home,385997896,Not Franchised,2015
captain america:civ war,1153284349,Franchised,2016
rogue one,1056057273,Franchised,2016
finding dory,1028570889,Franchised,2016
batman vs superman,873634919,Franchised,2016
fantastic beasts,802402853,Franchised,2016
deadpool,801025593,Franchised,2016
suicide squad,746059887,Franchised,2016
avengers: infinity war,2048359754,Franchised,2018
black panther,1346913161,Franchised,2018
jurassic world: fallen,1305772799,Franchised,2018
incredibles 2,1242805359,Franchised,2018
aquaman,1146894640,Franchised,2018
venom,853628605,Franchised,2018
mission impossible,787456552,Franchised,2018
star wars: last jedi,1332539889,Franchised,2017
fate of the furious,1234846267,Franchised,2017
despicable me 3,1034724710,Franchised,2017
spider man: homecoming,880166350,Franchised,2017
guardians of the galaxy,869113101,Franchised,2017
thor: ragnarok,853958289,Franchised,2017
wonder woman,821133378,Franchised,2017
Transformers: Age of Extinction,1104054072,Franchised,2014
The Hobbit: The Battle of the Five Armies,945577621,Franchised,2014
Guardians of the Galaxy,772772112,Franchised,2014
The Hunger Games: Mockingjay - Part 1,766575131,Franchised,2014
X-Men: Days of Future Past,747862775,Franchised,2014
Captain America: The Winter Soldier,714401889,Franchised,2014
Dawn of the Planet of the Apes,710644566,Franchised,2014
Star Wars Ep. VII: The Force Awakens,2068223624,Franchised,2015
Jurassic World,1648854864,Franchised,2015
Furious 7,1518722794,Franchised,2015
Avengers: Age of Ultron,1403013963,Franchised,2015
Minions,1160336173,Franchised,2015
Spectre,879620923,Franchised,2015
Mission: Impossible—Rogue Nation,688858992,Franchised,2015
