date,movie,budget,domestic_gross,worldwide_gross
40683,Pirates of the Caribbean: On Stranger Tides," $410,600,000"," $241,063,875"," $1,045,663,875"
43578,Avengers: Endgame," $400,000,000"," $858,373,000"," $2,797,800,564"
42116,Avengers: Age of Ultron," $330,600,000"," $459,005,868"," $1,403,013,963"
43082,Star Wars Ep. VIII: The Last Jedi," $317,000,000"," $620,181,382"," $1,332,539,889"
42354,Star Wars Ep. VII: The Force Awakens," $306,000,000"," $936,662,225"," $2,068,223,624"
43215,Avengers: Infinity War," $300,000,000"," $678,815,482"," $2,048,359,754"
39226,Pirates of the Caribbean: At World’s End," $300,000,000"," $309,420,425"," $963,420,425"
43052,Justice League," $300,000,000"," $229,024,295"," $655,945,209"
42283,Spectre," $300,000,000"," $200,074,175"," $879,620,923"
41109,The Dark Knight Rises," $275,000,000"," $448,139,099"," $1,084,439,099"
43243,Solo: A Star Wars Story," $275,000,000"," $213,767,512"," $393,151,347"
41457,The Lone Ranger," $275,000,000"," $89,302,115"," $260,002,115"
40975,John Carter," $275,000,000"," $73,058,679"," $282,778,100"
40506,Tangled," $260,000,000"," $200,821,936"," $586,477,240"
39206,Spider-Man 3," $258,000,000"," $336,530,303"," $894,860,230"
42482,Captain America: Civil War," $250,000,000"," $408,084,349"," $1,153,284,349"
42452,Batman v Superman: Dawn of Justice," $250,000,000"," $330,360,194"," $873,634,919"
41254,The Hobbit: An Unexpected Journey," $250,000,000"," $303,003,568"," $1,017,003,568"
40009,Harry Potter and the Half-Blood Prince," $250,000,000"," $302,089,278"," $935,213,767"
41621,The Hobbit: The Desolation of Smaug," $250,000,000"," $258,366,855"," $960,366,855"
41983,The Hobbit: The Battle of the Five Armies," $250,000,000"," $255,119,788"," $945,577,621"
42832,The Fate of the Furious," $250,000,000"," $225,764,765"," $1,234,846,267"
40164,Avatar," $237,000,000"," $760,507,625"," $2,789,705,275"
38896,Superman Returns," $232,000,000"," $200,120,000"," $391,081,192"
42878,Pirates of the Caribbean: Dead Men Tell No Tales," $230,000,000"," $172,558,876"," $788,241,137"
39766,Quantum of Solace," $230,000,000"," $169,368,427"," $591,692,078"
41024,The Avengers," $225,000,000"," $623,357,910"," $1,518,812,988"
38905,Pirates of the Caribbean: Dead Man’s Chest," $225,000,000"," $423,315,812"," $1,066,215,812"
41439,Man of Steel," $225,000,000"," $291,045,518"," $667,999,518"
39584,The Chronicles of Narnia: Prince Caspian," $225,000,000"," $141,621,490"," $417,341,288"
41087,The Amazing Spider-Man," $220,000,000"," $262,030,663"," $757,890,267"
